customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,is_charges_outlier,tenure_band,avg_monthly_revenue,charges_delta,clv_estimate,service_count,is_autopay,is_longterm_contract,has_internet,is_fiber,is_senior,is_high_value,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,churn_predicted,revenue_at_risk,risk_rank,scoring_model,risk_tier,value_tier,segment_label,segment_priority,recommended_action,segment_color
1400-MMYXY,1,1,0,3,1,1,0,1,1,0,1,1,1,105.9,334.65,1,0,0-12 mo,111.55,-5.6499999999999915,2541.6000000000004,6,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.9144075616012446,1,96.8357607735718,1,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
6496-SLWHQ,1,0,0,3,1,1,0,1,1,0,1,1,1,105.0,294.45,1,0,0-12 mo,98.15,6.8500000000000085,2520.0,6,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.9114091480503054,1,95.69796054528206,2,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
3292-PBZEJ,1,0,0,11,1,1,0,1,1,1,1,1,1,111.4,1183.05,0,0,0-12 mo,107.55,3.850000000000009,2673.6000000000004,7,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.8561911614707103,1,95.37969538783713,3,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
3606-TWKGI,1,0,0,13,1,1,0,1,1,0,1,1,1,106.9,1364.3,1,0,13-24 mo,104.94615384615383,1.9538461538461576,2565.6000000000004,6,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.8898142946077197,1,95.12114809356524,4,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
3389-YGYAI,1,0,0,8,1,1,0,1,1,0,1,1,1,105.5,829.55,1,0,0-12 mo,103.69375,1.8062500000000057,2532.0,6,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.8984313432144392,1,94.78450670912333,5,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
2027-FECZV,0,0,0,12,1,1,0,1,1,0,1,1,1,106.7,1253.9,1,0,0-12 mo,104.49166666666667,2.2083333333333286,2560.8,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.8772404099659105,1,93.60155174336265,6,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
9221-OTIVJ,1,0,0,14,1,1,0,1,1,0,1,1,1,104.85,1531.4,1,0,13-24 mo,109.38571428571429,-4.535714285714292,2516.3999999999996,6,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.8919615992601237,1,93.52217368242397,7,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
8884-ADFVN,1,1,0,7,1,1,0,0,1,0,1,1,1,101.95,700.85,1,0,0-12 mo,100.12142857142858,1.828571428571422,2446.8,5,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.9159439874812894,1,93.38048952371746,8,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
7216-EWTRS,1,1,0,1,1,1,0,0,1,0,1,1,1,100.8,100.8,1,0,0-12 mo,100.8,0.0,2419.2,5,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.9250314240371523,1,93.24316754294495,9,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
5419-JPRRN,0,0,0,1,1,1,0,0,1,0,1,1,1,101.45,101.45,1,0,0-12 mo,101.45,0.0,2434.8,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.917466954129858,1,93.0770224964741,10,logistic,high_risk,high_value,Save Immediately,1,Personal outreach + tailored discount offer,#d62728
